Date,Open,High,Low,Close,Adj Close,Volume
2021-10-14,2.390000,2.400000,2.310000,2.350000,2.350000,296500
2021-10-15,2.350000,2.350000,2.260000,2.270000,2.270000,267500
2021-10-18,2.240000,2.270000,2.240000,2.250000,2.250000,260600
2021-10-19,2.260000,2.280000,2.230000,2.260000,2.260000,70900
2021-10-20,2.250000,2.580000,2.250000,2.490000,2.490000,559700
2021-10-21,2.460000,2.510000,2.400000,2.420000,2.420000,157100
2021-10-22,2.440000,2.440000,2.380000,2.430000,2.430000,102100
2021-10-25,2.460000,2.590000,2.440000,2.530000,2.530000,339500
2021-10-26,2.520000,2.550000,2.410000,2.430000,2.430000,150200
2021-10-27,2.420000,2.520000,2.400000,2.430000,2.430000,226900
2021-10-28,2.420000,2.490000,2.420000,2.460000,2.460000,73700
2021-10-29,2.450000,2.690000,2.440000,2.640000,2.640000,590500
2021-11-01,2.650000,2.680000,2.470000,2.500000,2.500000,353600
2021-11-02,2.530000,2.530000,2.440000,2.450000,2.450000,287200
2021-11-03,2.450000,2.530000,2.420000,2.500000,2.500000,519600
2021-11-04,2.500000,2.530000,2.480000,2.510000,2.510000,148500
2021-11-05,2.550000,2.600000,2.440000,2.460000,2.460000,275600
2021-11-08,2.450000,2.560000,2.450000,2.530000,2.530000,381100
2021-11-09,2.750000,2.920000,2.600000,2.690000,2.690000,1851400
2021-11-10,2.610000,2.870000,2.600000,2.710000,2.710000,758700
2021-11-11,2.730000,2.740000,2.570000,2.580000,2.580000,531700
2021-11-12,2.580000,2.710000,2.540000,2.650000,2.650000,2827500
2021-11-15,2.670000,2.740000,2.560000,2.730000,2.730000,1198200
2021-11-16,2.710000,2.960000,2.640000,2.890000,2.890000,1062200
2021-11-17,2.900000,3.090000,2.880000,3.040000,3.040000,996700
2021-11-18,3.060000,3.070000,2.740000,2.750000,2.750000,553000
2021-11-19,2.730000,2.770000,2.630000,2.740000,2.740000,529800
2021-11-22,2.750000,2.760000,2.630000,2.750000,2.750000,389300
2021-11-23,2.730000,2.750000,2.630000,2.650000,2.650000,245800
2021-11-24,2.620000,2.760000,2.620000,2.750000,2.750000,162100
2021-11-26,2.690000,2.740000,2.660000,2.720000,2.720000,229700
2021-11-29,2.750000,2.760000,2.690000,2.720000,2.720000,267500
2021-11-30,2.710000,2.730000,2.660000,2.700000,2.700000,481500
2021-12-01,2.730000,2.800000,2.650000,2.730000,2.730000,478400
2021-12-02,2.700000,2.720000,2.620000,2.680000,2.680000,672700
2021-12-03,2.660000,2.690000,2.620000,2.670000,2.670000,630100
2021-12-06,2.650000,2.650000,2.460000,2.540000,2.540000,797400
2021-12-07,2.550000,2.700000,2.550000,2.680000,2.680000,444100
2021-12-08,2.640000,2.710000,2.640000,2.670000,2.670000,506400
2021-12-09,2.650000,2.730000,2.650000,2.670000,2.670000,402400
2021-12-10,2.690000,2.700000,2.610000,2.660000,2.660000,226400
2021-12-13,2.630000,2.640000,2.470000,2.480000,2.480000,381000
2021-12-14,2.470000,2.490000,2.350000,2.370000,2.370000,434800
2021-12-15,2.350000,2.480000,2.270000,2.480000,2.480000,573000
2021-12-16,2.480000,2.490000,2.340000,2.410000,2.410000,371000
2021-12-17,2.370000,2.550000,2.350000,2.530000,2.530000,2313600
2021-12-20,2.480000,2.480000,2.340000,2.430000,2.430000,542800
2021-12-21,2.410000,2.550000,2.360000,2.550000,2.550000,395200
2021-12-22,2.510000,2.590000,2.500000,2.580000,2.580000,344500
2021-12-23,2.570000,2.750000,2.510000,2.600000,2.600000,650500
2021-12-27,2.600000,2.660000,2.550000,2.570000,2.570000,439900
2021-12-28,2.530000,2.620000,2.460000,2.500000,2.500000,423100
2021-12-29,2.500000,2.500000,2.330000,2.380000,2.380000,1002800
2021-12-30,2.360000,2.500000,2.330000,2.370000,2.370000,950800
2021-12-31,2.330000,2.490000,2.330000,2.440000,2.440000,640100
2022-01-03,2.450000,2.630000,2.440000,2.630000,2.630000,353000
2022-01-04,2.600000,2.610000,2.480000,2.490000,2.490000,676900
2022-01-05,2.500000,2.510000,2.310000,2.320000,2.320000,507400
2022-01-06,2.300000,2.400000,2.250000,2.290000,2.290000,1012600
2022-01-07,2.290000,2.360000,2.240000,2.270000,2.270000,458200
2022-01-10,2.260000,2.310000,2.190000,2.300000,2.300000,405700
2022-01-11,2.300000,2.380000,2.270000,2.360000,2.360000,161800
2022-01-12,2.370000,2.380000,2.310000,2.350000,2.350000,134800
2022-01-13,2.340000,2.430000,2.310000,2.330000,2.330000,630000
2022-01-14,2.310000,2.320000,2.160000,2.240000,2.240000,631900
2022-01-18,2.190000,2.240000,2.170000,2.200000,2.200000,587200
2022-01-19,2.200000,2.230000,2.080000,2.130000,2.130000,582100
2022-01-20,2.140000,2.210000,2.090000,2.090000,2.090000,373200
2022-01-21,2.100000,2.140000,2.040000,2.040000,2.040000,366400
2022-01-24,2.000000,2.080000,1.980000,2.070000,2.070000,465500
2022-01-25,2.040000,2.080000,2.010000,2.050000,2.050000,170900
2022-01-26,2.050000,2.130000,2.010000,2.030000,2.030000,139400
2022-01-27,2.060000,2.110000,1.970000,2.090000,2.090000,442500
2022-01-28,2.070000,2.070000,1.880000,1.950000,1.950000,422300
2022-01-31,1.960000,2.110000,1.960000,2.040000,2.040000,426800
2022-02-01,2.030000,2.050000,1.970000,2.010000,2.010000,268700
2022-02-02,2.100000,2.100000,1.970000,2.030000,2.030000,251900
2022-02-03,2.010000,2.080000,2.010000,2.070000,2.070000,640600
2022-02-04,2.070000,2.090000,2.050000,2.080000,2.080000,242700
2022-02-07,2.080000,2.100000,1.980000,2.020000,2.020000,910700
2022-02-08,2.030000,2.070000,1.990000,2.060000,2.060000,109100
2022-02-09,2.060000,2.360000,2.060000,2.230000,2.230000,775100
2022-02-10,2.220000,2.230000,2.110000,2.130000,2.130000,354500
2022-02-11,2.120000,2.130000,1.970000,2.000000,2.000000,1670200
2022-02-14,1.990000,2.050000,1.980000,1.990000,1.990000,370400
2022-02-15,2.020000,2.050000,2.000000,2.030000,2.030000,383600
2022-02-16,2.040000,2.040000,1.990000,2.020000,2.020000,117800
2022-02-17,2.000000,2.040000,1.940000,1.950000,1.950000,461200
2022-02-18,1.970000,1.970000,1.790000,1.840000,1.840000,573900
2022-02-22,1.810000,1.810000,1.690000,1.710000,1.710000,957500
2022-02-23,1.730000,1.740000,1.640000,1.640000,1.640000,379900
2022-02-24,1.570000,1.660000,1.550000,1.650000,1.650000,632800
2022-02-25,1.660000,1.710000,1.570000,1.640000,1.640000,543900
2022-02-28,1.640000,1.660000,1.570000,1.610000,1.610000,249300
2022-03-01,1.600000,1.660000,1.520000,1.530000,1.530000,430800
2022-03-02,1.530000,1.610000,1.490000,1.530000,1.530000,416600
2022-03-03,1.540000,1.540000,1.460000,1.480000,1.480000,629200
2022-03-04,1.480000,1.510000,1.450000,1.460000,1.460000,321700
2022-03-07,1.440000,1.460000,1.420000,1.420000,1.420000,350200
2022-03-08,1.410000,1.490000,1.410000,1.450000,1.450000,487500
2022-03-09,1.470000,1.480000,1.280000,1.290000,1.290000,2261900
2022-03-10,1.280000,1.290000,1.150000,1.190000,1.190000,2822900
2022-03-11,1.210000,1.330000,1.160000,1.280000,1.280000,1641000
2022-03-14,1.290000,1.420000,1.260000,1.310000,1.310000,942600
2022-03-15,1.380000,1.550000,1.370000,1.540000,1.540000,1445900
2022-03-16,1.590000,1.710000,1.550000,1.650000,1.650000,1407200
2022-03-17,1.620000,1.760000,1.610000,1.760000,1.760000,655300
2022-03-18,1.730000,1.840000,1.690000,1.830000,1.830000,864900
2022-03-21,1.830000,1.830000,1.790000,1.830000,1.830000,759800
2022-03-22,1.830000,1.860000,1.720000,1.730000,1.730000,901400
2022-03-23,1.730000,1.770000,1.650000,1.670000,1.670000,278200
2022-03-24,1.680000,1.740000,1.670000,1.730000,1.730000,321800
2022-03-25,1.740000,1.740000,1.660000,1.730000,1.730000,186700
2022-03-28,1.740000,1.760000,1.690000,1.720000,1.720000,319100
2022-03-29,1.750000,1.770000,1.700000,1.750000,1.750000,406100
2022-03-30,1.710000,1.760000,1.710000,1.720000,1.720000,273000
2022-03-31,1.720000,1.760000,1.710000,1.730000,1.730000,227700
2022-04-01,1.740000,1.760000,1.710000,1.740000,1.740000,118900
2022-04-04,1.750000,1.910000,1.750000,1.880000,1.880000,446200
2022-04-05,1.860000,1.870000,1.740000,1.760000,1.760000,203500
2022-04-06,1.740000,1.800000,1.670000,1.730000,1.730000,284900
2022-04-07,1.720000,1.720000,1.610000,1.610000,1.610000,106300
2022-04-08,1.600000,1.710000,1.560000,1.660000,1.660000,222900
2022-04-11,1.620000,1.670000,1.610000,1.630000,1.630000,88200
2022-04-12,1.630000,1.670000,1.580000,1.580000,1.580000,120000
2022-04-13,1.570000,1.610000,1.570000,1.600000,1.600000,220500
2022-04-14,1.600000,1.630000,1.530000,1.530000,1.530000,197900
2022-04-18,1.540000,1.540000,1.480000,1.520000,1.520000,225000
2022-04-19,1.520000,1.560000,1.460000,1.500000,1.500000,71100
2022-04-20,1.510000,1.510000,1.450000,1.460000,1.460000,70700
2022-04-21,1.450000,1.460000,1.390000,1.400000,1.400000,149100
2022-04-22,1.380000,1.430000,1.360000,1.370000,1.370000,238600
2022-04-25,1.360000,1.380000,1.330000,1.330000,1.330000,109100
2022-04-26,1.340000,1.450000,1.310000,1.400000,1.400000,372800
2022-04-27,1.370000,1.400000,1.310000,1.310000,1.310000,141600
2022-04-28,1.310000,1.340000,1.250000,1.310000,1.310000,268800
2022-04-29,1.310000,1.330000,1.260000,1.280000,1.280000,194700
2022-05-02,1.270000,1.340000,1.240000,1.330000,1.330000,139000
2022-05-03,1.340000,1.420000,1.340000,1.360000,1.360000,183900
2022-05-04,1.340000,1.350000,1.310000,1.350000,1.350000,183100
2022-05-05,1.350000,1.350000,1.250000,1.270000,1.270000,234700
2022-05-06,1.280000,1.280000,1.210000,1.230000,1.230000,181600
